"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate"
"Total population","3,221,789","(X)","1,528,789","(X)","1,693,000","(X)"
"    AGE","","","","","",""
"        Under 5 years","99,432","3.1%","53,485","3.5%","45,947","2.7%"
"        5 to 9 years","133,195","4.1%","68,924","4.5%","64,271","3.8%"
"        10 to 14 years","170,757","5.3%","86,034","5.6%","84,723","5.0%"
"        15 to 19 years","197,196","6.1%","103,566","6.8%","93,630","5.5%"
"        20 to 24 years","216,771","6.7%","109,357","7.2%","107,414","6.3%"
"        25 to 29 years","210,557","6.5%","106,264","7.0%","104,293","6.2%"
"        30 to 34 years","195,277","6.1%","97,878","6.4%","97,399","5.8%"
"        35 to 39 years","195,722","6.1%","91,456","6.0%","104,266","6.2%"
"        40 to 44 years","203,027","6.3%","94,829","6.2%","108,198","6.4%"
"        45 to 49 years","197,953","6.1%","93,873","6.1%","104,080","6.1%"
"        50 to 54 years","206,769","6.4%","97,168","6.4%","109,601","6.5%"
"        55 to 59 years","215,212","6.7%","96,620","6.3%","118,592","7.0%"
"        60 to 64 years","223,075","6.9%","103,623","6.8%","119,452","7.1%"
"        65 to 69 years","198,068","6.1%","89,599","5.9%","108,469","6.4%"
"        70 to 74 years","185,911","5.8%","81,790","5.3%","104,121","6.2%"
"        75 to 79 years","165,862","5.1%","71,336","4.7%","94,526","5.6%"
"        80 to 84 years","110,051","3.4%","46,484","3.0%","63,567","3.8%"
"        85 years and over","96,954","3.0%","36,503","2.4%","60,451","3.6%"
"    SELECTED AGE CATEGORIES","","","","","",""
"        5 to 14 years","303,952","9.4%","154,958","10.1%","148,994","8.8%"
"        15 to 17 years","114,952","3.6%","61,229","4.0%","53,723","3.2%"
"        Under 18 years","518,336","16.1%","269,672","17.6%","248,664","14.7%"
"        18 to 24 years","299,015","9.3%","151,694","9.9%","147,321","8.7%"
"        15 to 44 years","1,218,550","37.8%","603,350","39.5%","615,200","36.3%"
"        16 years and over","2,781,341","86.3%","1,301,222","85.1%","1,480,119","87.4%"
"        18 years and over","2,703,453","83.9%","1,259,117","82.4%","1,444,336","85.3%"
"        21 years and over","2,579,711","80.1%","1,193,624","78.1%","1,386,087","81.9%"
"        60 years and over","979,921","30.4%","429,335","28.1%","550,586","32.5%"
"        62 years and over","893,284","27.7%","388,360","25.4%","504,924","29.8%"
"        65 years and over","756,846","23.5%","325,712","21.3%","431,134","25.5%"
"        75 years and over","372,867","11.6%","154,323","10.1%","218,544","12.9%"
"    SUMMARY INDICATORS","","","","","",""
"        Median age (years)","44.7","(X)","42.4","(X)","46.8","(X)"
"        Sex ratio (males per 100 females)","90.3","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","65.5","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","38.9","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","26.6","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","",""
"        Sex","(X)","0.1%","(X)","(X)","(X)","(X)"
"        Age","(X)","1.9%","(X)","(X)","(X)","(X)"
