"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,289,311","1,289,311","869,635","869,635","419,676","419,676"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","",""
"        One race --","","","","","",""
"            White","336,747","26.1%","228,707","26.3%","108,040","25.7%"
"            Black or African American","78,164","6.1%","46,407","5.3%","31,757","7.6%"
"            American Indian and Alaska Native","2,670","0.2%","1,827","0.2%","843","0.2%"
"            Asian","3,016","0.2%","1,775","0.2%","1,241","0.3%"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","N","N","N","N"
"            Some other race","369,838","28.7%","240,335","27.6%","129,503","30.9%"
"        Two or more races","498,876","38.7%","350,584","40.3%","148,292","35.3%"
"        Hispanic or Latino origin","1,275,511","98.9%","860,816","99.0%","414,695","98.8%"
"        White alone, not Hispanic or Latino","8,763","0.7%","5,865","0.7%","2,898","0.7%"
"    AGE OF HOUSEHOLDER","","","","","",""
"        Under 35 years","157,833","12.2%","44,181","5.1%","113,652","27.1%"
"        35 to 44 years","181,272","14.1%","98,063","11.3%","83,209","19.8%"
"        45 to 54 years","216,283","16.8%","146,517","16.8%","69,766","16.6%"
"        55 to 64 years","250,546","19.4%","185,995","21.4%","64,551","15.4%"
"        65 to 74 years","246,415","19.1%","197,138","22.7%","49,277","11.7%"
"        75 to 84 years","181,908","14.1%","150,311","17.3%","31,597","7.5%"
"        85 years and over","55,054","4.3%","47,430","5.5%","7,624","1.8%"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","",""
"        Less than high school graduate","246,102","19.1%","169,630","19.5%","76,472","18.2%"
"        High school graduate (includes equivalency)","351,586","27.3%","215,295","24.8%","136,291","32.5%"
"        Some college or associate's degree","312,861","24.3%","195,406","22.5%","117,455","28.0%"
"        Bachelor's degree or higher","378,762","29.4%","289,304","33.3%","89,458","21.3%"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","",""
"        Moved in 2021 or later","119,017","9.2%","29,895","3.4%","89,122","21.2%"
"        Moved in 2018 to 2020","186,585","14.5%","64,941","7.5%","121,644","29.0%"
"        Moved in 2010 to 2017","242,568","18.8%","137,259","15.8%","105,309","25.1%"
"        Moved in 2000 to 2009","248,614","19.3%","202,749","23.3%","45,865","10.9%"
"        Moved in 1990 to 1999","173,717","13.5%","150,231","17.3%","23,486","5.6%"
"        Moved in 1989 or earlier","318,810","24.7%","284,560","32.7%","34,250","8.2%"
