"Label (Grouping)","Puerto Rico!!Occupied housing units!!Estimate","Puerto Rico!!Percent occupied housing units!!Estimate","Puerto Rico!!Owner-occupied housing units!!Estimate","Puerto Rico!!Percent owner-occupied housing units!!Estimate","Puerto Rico!!Renter-occupied housing units!!Estimate","Puerto Rico!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","1,289,311","1,289,311","869,635","869,635","419,676","419,676"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"        Less than $5,000","161,289","12.5%","67,323","7.7%","93,966","22.4%"
"        $5,000 to $9,999","127,663","9.9%","72,191","8.3%","55,472","13.2%"
"        $10,000 to $14,999","138,823","10.8%","89,714","10.3%","49,109","11.7%"
"        $15,000 to $19,999","131,541","10.2%","84,290","9.7%","47,251","11.3%"
"        $20,000 to $24,999","103,114","8.0%","66,374","7.6%","36,740","8.8%"
"        $25,000 to $34,999","161,093","12.5%","116,228","13.4%","44,865","10.7%"
"        $35,000 to $49,999","165,686","12.9%","124,358","14.3%","41,328","9.8%"
"        $50,000 to $74,999","138,724","10.8%","108,518","12.5%","30,206","7.2%"
"        $75,000 to $99,999","71,891","5.6%","60,855","7.0%","11,036","2.6%"
"        $100,000 to $149,999","49,762","3.9%","44,341","5.1%","5,421","1.3%"
"        $150,000 or more","39,725","3.1%","35,443","4.1%","4,282","1.0%"
"        Median household income (dollars)","24,112","24,112","29,399","29,399","16,115","16,115"
"    MONTHLY HOUSING COSTS","","","","","",""
"        Less than $300","483,442","37.5%","434,147","49.9%","49,295","11.7%"
"        $300 to $499","182,207","14.1%","105,101","12.1%","77,106","18.4%"
"        $500 to $799","228,264","17.7%","131,018","15.1%","97,246","23.2%"
"        $800 to $999","97,737","7.6%","70,041","8.1%","27,696","6.6%"
"        $1,000 to $1,499","101,751","7.9%","81,030","9.3%","20,721","4.9%"
"        $1,500 to $1,999","29,716","2.3%","25,640","2.9%","4,076","1.0%"
"        $2,000 to $2,499","10,473","0.8%","9,191","1.1%","1,282","0.3%"
"        $2,500 to $2,999","6,089","0.5%","3,962","0.5%","2,127","0.5%"
"        $3,000 or more","11,162","0.9%","9,505","1.1%","1,657","0.4%"
"        No cash rent","138,470","10.7%","(X)","(X)","138,470","33.0%"
"        Median (dollars)","399","399","302","302","535","535"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","",""
"        Less than $20,000","417,829","32.4%","283,720","32.6%","134,109","32.0%"
"            Less than 20 percent","140,064","10.9%","133,219","15.3%","6,845","1.6%"
"            20 to 29 percent","60,077","4.7%","39,180","4.5%","20,897","5.0%"
"            30 percent or more","217,688","16.9%","111,321","12.8%","106,367","25.3%"
"        $20,000 to $34,999","239,581","18.6%","182,602","21.0%","56,979","13.6%"
"            Less than 20 percent","123,739","9.6%","114,685","13.2%","9,054","2.2%"
"            20 to 29 percent","45,208","3.5%","22,932","2.6%","22,276","5.3%"
"            30 percent or more","70,634","5.5%","44,985","5.2%","25,649","6.1%"
"        $35,000 to $49,999","152,438","11.8%","124,358","14.3%","28,080","6.7%"
"            Less than 20 percent","93,543","7.3%","79,082","9.1%","14,461","3.4%"
"            20 to 29 percent","39,269","3.0%","29,431","3.4%","9,838","2.3%"
"            30 percent or more","19,626","1.5%","15,845","1.8%","3,781","0.9%"
"        $50,000 to $74,999","131,772","10.2%","108,518","12.5%","23,254","5.5%"
"            Less than 20 percent","97,536","7.6%","81,688","9.4%","15,848","3.8%"
"            20 to 29 percent","26,404","2.0%","20,542","2.4%","5,862","1.4%"
"            30 percent or more","7,832","0.6%","6,288","0.7%","1,544","0.4%"
"        $75,000 or more","155,703","12.1%","140,639","16.2%","15,064","3.6%"
"            Less than 20 percent","136,059","10.6%","124,292","14.3%","11,767","2.8%"
"            20 to 29 percent","15,159","1.2%","12,410","1.4%","2,749","0.7%"
"            30 percent or more","4,485","0.3%","3,937","0.5%","548","0.1%"
"        Zero or negative income","53,518","4.2%","29,798","3.4%","23,720","5.7%"
"        No cash rent","138,470","10.7%","(X)","(X)","138,470","33.0%"
