"Label (Grouping)","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,404,438","±3,573"
"    Less than high school graduate","440,567","±10,355"
"    High school graduate (includes equivalency)","671,662","±11,677"
"    Some college or associate's degree","574,490","±14,399"
"    Bachelor's degree","503,506","±12,117"
"    Graduate or professional degree","214,213","±8,566"
"    Same house 1 year ago:","2,280,307","±8,002"
"        Less than high school graduate","422,529","±10,395"
"        High school graduate (includes equivalency)","636,308","±11,256"
"        Some college or associate's degree","544,745","±14,238"
"        Bachelor's degree","476,192","±11,421"
"        Graduate or professional degree","200,533","±8,366"
"    Moved within same municipio:","61,013","±4,780"
"        Less than high school graduate","10,027","±1,740"
"        High school graduate (includes equivalency)","18,317","±2,468"
"        Some college or associate's degree","13,758","±1,912"
"        Bachelor's degree","11,981","±3,021"
"        Graduate or professional degree","6,930","±1,783"
"    Moved from different municipio:","41,676","±4,298"
"        Less than high school graduate","5,021","±1,296"
"        High school graduate (includes equivalency)","11,227","±1,984"
"        Some college or associate's degree","10,734","±2,466"
"        Bachelor's degree","10,591","±2,106"
"        Graduate or professional degree","4,103","±1,363"
"    Moved from the United States:","18,406","±3,651"
"        Less than high school graduate","2,673","±1,183"
"        High school graduate (includes equivalency)","5,180","±1,502"
"        Some college or associate's degree","3,979","±1,341"
"        Bachelor's degree","4,289","±1,781"
"        Graduate or professional degree","2,285","±1,037"
"    Moved from elsewhere:","3,036","±1,143"
"        Less than high school graduate","317","±240"
"        High school graduate (includes equivalency)","630","±502"
"        Some college or associate's degree","1,274","±827"
"        Bachelor's degree","453","±308"
"        Graduate or professional degree","362","±251"
