"Label (Grouping)","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total living in area 1 year ago:","2,410,412","±6,579"
"    Less than high school graduate","443,480","±10,225"
"    High school graduate (includes equivalency)","672,691","±11,773"
"    Some college or associate's degree","575,675","±14,432"
"    Bachelor's degree","503,596","±11,714"
"    Graduate or professional degree","214,970","±8,722"
"    Same house:","2,280,307","±8,002"
"        Less than high school graduate","422,529","±10,395"
"        High school graduate (includes equivalency)","636,308","±11,256"
"        Some college or associate's degree","544,745","±14,238"
"        Bachelor's degree","476,192","±11,421"
"        Graduate or professional degree","200,533","±8,366"
"    Moved within same municipio:","61,013","±4,780"
"        Less than high school graduate","10,027","±1,740"
"        High school graduate (includes equivalency)","18,317","±2,468"
"        Some college or associate's degree","13,758","±1,912"
"        Bachelor's degree","11,981","±3,021"
"        Graduate or professional degree","6,930","±1,783"
"    Moved to different municipio:","41,676","±4,298"
"        Less than high school graduate","5,021","±1,296"
"        High school graduate (includes equivalency)","11,227","±1,984"
"        Some college or associate's degree","10,734","±2,466"
"        Bachelor's degree","10,591","±2,106"
"        Graduate or professional degree","4,103","±1,363"
"    Moved to the United States:","27,416","±4,181"
"        Less than high school graduate","5,903","±1,303"
"        High school graduate (includes equivalency)","6,839","±1,652"
"        Some college or associate's degree","6,438","±1,949"
"        Bachelor's degree","4,832","±1,179"
"        Graduate or professional degree","3,404","±1,422"
