"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,164,142","605,473","52.0%","558,669","48.0%"
"    Agriculture, forestry, fishing and hunting, and mining:","18,584","15,901","85.6%","2,683","14.4%"
"        Agriculture, forestry, fishing and hunting","18,073","15,510","85.8%","2,563","14.2%"
"        Mining, quarrying, and oil and gas extraction","511","391","76.5%","120","23.5%"
"    Construction","75,137","71,040","94.5%","4,097","5.5%"
"    Manufacturing","104,432","63,794","61.1%","40,638","38.9%"
"    Wholesale trade","28,564","19,534","68.4%","9,030","31.6%"
"    Retail trade","148,801","70,167","47.2%","78,634","52.8%"
"    Transportation and warehousing, and utilities:","48,633","37,237","76.6%","11,396","23.4%"
"        Transportation and warehousing","38,573","29,317","76.0%","9,256","24.0%"
"        Utilities","10,060","7,920","78.7%","2,140","21.3%"
"    Information","17,937","9,921","55.3%","8,016","44.7%"
"    Finance and insurance, and real estate and rental and leasing:","65,868","25,170","38.2%","40,698","61.8%"
"        Finance and insurance","51,143","18,335","35.9%","32,808","64.1%"
"        Real estate and rental and leasing","14,725","6,835","46.4%","7,890","53.6%"
"    Professional, scientific, and management, and administrative and waste management services:","129,162","76,659","59.4%","52,503","40.6%"
"        Professional, scientific, and technical services","55,432","29,870","53.9%","25,562","46.1%"
"        Management of companies and enterprises","1,150","542","47.1%","608","52.9%"
"        Administrative and support and waste management services","72,580","46,247","63.7%","26,333","36.3%"
"    Educational services, and health care and social assistance:","246,857","63,870","25.9%","182,987","74.1%"
"        Educational services","101,013","29,265","29.0%","71,748","71.0%"
"        Health care and social assistance","145,844","34,605","23.7%","111,239","76.3%"
"    Arts, entertainment, and recreation, and accommodation and food services:","111,185","58,963","53.0%","52,222","47.0%"
"        Arts, entertainment, and recreation","15,273","10,625","69.6%","4,648","30.4%"
"        Accommodation and food services","95,912","48,338","50.4%","47,574","49.6%"
"    Other services, except public administration","73,987","41,535","56.1%","32,452","43.9%"
"    Public administration","94,995","51,682","54.4%","43,313","45.6%"
