"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Percent Male!!Estimate","Puerto Rico!!Female!!Estimate","Puerto Rico!!Percent Female!!Estimate"
"Full-time, year-round civilian employed population 16 years and over","776,820","424,719","54.7%","352,101","45.3%"
"    Management, business, science, and arts occupations:","305,718","131,827","43.1%","173,891","56.9%"
"        Management, business, and financial occupations:","133,473","63,769","47.8%","69,704","52.2%"
"            Management occupations","83,551","44,176","52.9%","39,375","47.1%"
"            Business and financial operations occupations","49,922","19,593","39.2%","30,329","60.8%"
"        Computer, engineering, and science occupations:","36,309","24,813","68.3%","11,496","31.7%"
"            Computer and mathematical occupations","13,609","9,959","73.2%","3,650","26.8%"
"            Architecture and engineering occupations","13,703","10,539","76.9%","3,164","23.1%"
"            Life, physical, and social science occupations","8,997","4,315","48.0%","4,682","52.0%"
"        Education, legal, community service, arts, and media occupations:","75,247","25,197","33.5%","50,050","66.5%"
"            Community and social service occupations","13,820","4,767","34.5%","9,053","65.5%"
"            Legal occupations","10,554","4,902","46.4%","5,652","53.6%"
"            Educational instruction, and library occupations","39,817","9,397","23.6%","30,420","76.4%"
"            Arts, design, entertainment, sports, and media occupations","11,056","6,131","55.5%","4,925","44.5%"
"        Healthcare practitioners and technical occupations:","60,689","18,048","29.7%","42,641","70.3%"
"            Health diagnosing and treating practitioners and other technical occupations","42,995","11,603","27.0%","31,392","73.0%"
"            Health technologists and technicians","17,694","6,445","36.4%","11,249","63.6%"
"    Service occupations:","120,879","77,663","64.2%","43,216","35.8%"
"        Healthcare support occupations","9,481","2,915","30.7%","6,566","69.3%"
"        Protective service occupations:","41,276","31,201","75.6%","10,075","24.4%"
"            Firefighting and prevention, and other protective service workers including supervisors","20,070","14,439","71.9%","5,631","28.1%"
"            Law enforcement workers including supervisors","21,206","16,762","79.0%","4,444","21.0%"
"        Food preparation and serving related occupations","29,167","17,067","58.5%","12,100","41.5%"
"        Building and grounds cleaning and maintenance occupations","28,057","19,702","70.2%","8,355","29.8%"
"        Personal care and service occupations","12,898","6,778","52.6%","6,120","47.4%"
"    Sales and office occupations:","179,205","70,617","39.4%","108,588","60.6%"
"        Sales and related occupations","68,106","38,170","56.0%","29,936","44.0%"
"        Office and administrative support occupations","111,099","32,447","29.2%","78,652","70.8%"
"    Natural resources, construction, and maintenance occupations:","74,098","71,484","96.5%","2,614","3.5%"
"        Farming, fishing, and forestry occupations","6,229","5,544","89.0%","685","11.0%"
"        Construction and extraction occupations","36,974","35,814","96.9%","1,160","3.1%"
"        Installation, maintenance, and repair occupations","30,895","30,126","97.5%","769","2.5%"
"    Production, transportation, and material moving occupations:","96,920","73,128","75.5%","23,792","24.5%"
"        Production occupations","47,656","30,890","64.8%","16,766","35.2%"
"        Transportation occupations","28,922","25,307","87.5%","3,615","12.5%"
"        Material moving occupations","20,342","16,931","83.2%","3,411","16.8%"
