"Label (Grouping)","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,404,438","±3,573"
"    Less than high school graduate","440,567","±10,355"
"    High school graduate (includes equivalency)","671,662","±11,677"
"    Some college or associate's degree","574,490","±14,399"
"    Bachelor's degree","503,506","±12,117"
"    Graduate or professional degree","214,213","±8,566"
"    Born in Puerto Rico:","2,168,102","±8,662"
"        Less than high school graduate","409,673","±9,574"
"        High school graduate (includes equivalency)","617,925","±11,320"
"        Some college or associate's degree","514,516","±14,551"
"        Bachelor's degree","441,366","±12,624"
"        Graduate or professional degree","184,622","±7,396"
"    Born in the United States:","148,702","±6,596"
"        Less than high school graduate","11,196","±2,198"
"        High school graduate (includes equivalency)","34,618","±3,364"
"        Some college or associate's degree","43,427","±3,260"
"        Bachelor's degree","41,513","±3,680"
"        Graduate or professional degree","17,948","±2,245"
"    Native; born elsewhere:","10,213","±1,945"
"        Less than high school graduate","1,288","±506"
"        High school graduate (includes equivalency)","1,367","±699"
"        Some college or associate's degree","2,329","±829"
"        Bachelor's degree","2,756","±993"
"        Graduate or professional degree","2,473","±942"
"    Foreign born:","77,421","±5,741"
"        Less than high school graduate","18,410","±2,102"
"        High school graduate (includes equivalency)","17,752","±2,118"
"        Some college or associate's degree","14,218","±2,834"
"        Bachelor's degree","17,871","±2,610"
"        Graduate or professional degree","9,170","±1,837"
