"Label (Grouping)","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","3,165,915","±3,551"
"    Enrolled in school:","672,468","±8,204"
"        Enrolled in nursery school, preschool","31,183","±3,392"
"        Enrolled in kindergarten","23,457","±2,817"
"        Enrolled in grade 1 to grade 4","110,129","±4,857"
"        Enrolled in grade 5 to grade 8","136,618","±5,331"
"        Enrolled in grade 9 to grade 12","149,962","±4,863"
"        Enrolled in college, undergraduate years","177,416","±7,171"
"        Graduate or professional school","43,703","±3,919"
"    Not enrolled in school","2,493,447","±7,252"
